"Data Import Template"
"Table:","Item"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Item","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","UOM Conversion Detail","uoms","","","","~","Item Barcode","barcodes","","","","","~","Item Reorder","reorder_levels","","","","","","","~","Item Variant Attribute","attributes","","","","","","","","","","~","Item Default","item_defaults","","","","","","","","","","","","","","~","Item Supplier","supplier_items","","","","~","Item Customer Detail","customer_items","","","","","~","Item Tax","taxes","","","","","",""
"Column Labels:","ID","Item Code","Item Group","Default Unit of Measure","Created On","Created By","Item Name","Spec Sheet","Duty","VAT","Disabled","Allow Alternative Item","warranty","Maintain Stock","Has Variants","Opening Stock","Valuation Rate","Standard Selling Rate","Is Fixed Asset","Auto Create Assets on Purchase","Create Grouped Asset","Asset Category","Asset Naming Series","Over Delivery/Receipt Allowance (%)","Over Billing Allowance (%)","Description","Brand","Shelf Life In Days","End of Life","Default Material Request Type","Valuation Method","Warranty Period (in days)","Weight Per Unit","Weight UOM","Allow Negative Stock","Has Batch No","Automatically Create New Batch","Batch Number Series","Has Expiry Date","Retain Sample","Max Sample Quantity","Has Serial No","Serial Number Series","Variant Of","Variant Based On","Enable Deferred Expense","No of Months (Expense)","Enable Deferred Revenue","No of Months (Revenue)","Default Purchase Unit of Measure","Minimum Order Qty","Safety Stock","Allow Purchase","Lead Time in days","Last Purchase Rate","Is Customer Provided Item","Customer","Delivered by Supplier (Drop Ship)","Country of Origin","Customs Tariff Number","Default Sales Unit of Measure","Grant Commission","Allow Sales","Max Discount (%)","Inspection Required before Purchase","Quality Inspection Template","Inspection Required before Delivery","Include Item In Manufacturing","Supply Raw Materials for Purchase","Default BOM","Default Item Manufacturer","Default Manufacturer Part No","","ID","Created On","Created By","UOM","Conversion Factor","","ID","Barcode","Created On","Created By","Barcode Type","UOM","","ID","Request for","Material Request Type","Created On","Created By","Check in (group)","Re-order Level","Re-order Qty","","ID","Attribute","Created On","Created By","Variant Of","Attribute Value","Numeric Values","Disabled","From Range","Increment","To Range","","ID","Company","Created On","Created By","Default Warehouse","Default Price List","Default Discount Account","Default Buying Cost Center","Default Supplier","Default Expense Account","Default Provisional Account","Default Selling Cost Center","Default Income Account","Deferred Expense Account","Deferred Revenue Account","","ID","Supplier","Created On","Created By","Supplier Part Number","","ID","Ref Code","Created On","Created By","Customer Name","Customer Group","","ID","Item Tax Template","Created On","Created By","Tax Category","Valid From","Minimum Net Rate","Maximum Net Rate"
"","""1603 -3""","1603 -3","Paver","Nos","2025-05-08 10:39:41.058949","Administrator","S1603 -3","",0,0,0,0,"1000 hours or 1 year full warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>CumminsQSB4.5 C115 engine, Power output: 116kw at 2000rpm. Hopper Capacity 13t, Hopper width 3,265mm.Max paving width with extensions 6.8m</p></div>","VÖGELE",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""pm0h0o9326""","2025-05-08 10:39:41.073669","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""rpoob42ugr""","Sinopower","2025-05-08 10:39:41.074312","Administrator","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""eadsfq2buj""","Machinery Exchange","2025-09-10 16:58:33.351777","sales.humphrey@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""1800 -3""","1800 -3","Paver","Nos","2025-05-08 10:39:41.095585","Administrator","Wirtgen 1800 -3","",0,0,0,0,"1000 Hours or 1 Year Full Warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>Engine</strong>: Cummins QSB 6.7 C170, <strong>Power output</strong>: 127kw at 2000rpm. <strong>Hopper Capacity:</strong> 13t, <strong>Hopper width:</strong> 3,265mm, : AB500-3 Extending Screed basic width 2.55m-5m. Screed, Heating by electric heating rods.</p></div>","Wirtgen",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""a9bfpauo3b""","2025-05-08 10:39:41.113162","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""lpadedh13j""","Machinery Exchange","2025-05-08 10:39:41.113920","Administrator","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""1803-3""","1803-3","Paver","Nos","2026-04-09 16:09:25.217491","rental@machinery-exchange.com","1803-3","/files/SUPER_1803-3i_EN_2585589_mPW_0417.pdf",0,0,0,0,"1000 hours or 1 year full warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Engine: Cummins QSB 6.7 C170 Power output: 127kw at 2000rpm. Hopper Capacity 13t , Hopper width 3,265mm, : AB500-3 Extending Screed basic width 2.55m-5m. Screed Heating by electric heating rods</p></div>","VÖGELE",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""k6dds2qf72""","2026-04-09 16:09:25.279194","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ncfi9bbj8s""","Sinopower","2026-04-09 16:09:25.281382","rental@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""q3pqnhq67v""","Machinery Exchange","2026-04-09 16:09:41.649982","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""2 Ton Loader""","2 Ton Loader","Wheel Loader","Nos","2025-05-08 10:39:41.133169","Administrator","2 Ton Loader","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"2 Ton Loader","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""d5bilh8ml6""","2025-05-08 10:39:41.147132","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""6rjmdrak31""","Sinopower","2025-05-08 10:39:41.147707","Administrator","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""260 SX""","260 SX","Surface Miner","Nos","2026-06-11 16:21:58.926002","rental@machinery-exchange.com","260 SX","/files/o293281v77_260_SX_260_SXi_Brochure_Datasheet_ENUS.pdf",0,0,0,0,"1000 hours or 1 year full warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Engine Power: 783 kW / 1,050 hp. Engine Type: 30 L high-torque diesel engine. Emission Standard: Tier 2 / Tier 4f / EU Stage 5. Operating Weight (CE): 101,110 kg. Maximum Operating Weight: 103,900 kg. Cutting Width: 2,750 mm. Maximum Cutting Depth: 650 mm. Maximum Working Speed: 44 m/min (2.6 km/h). Turning Radius: Less than 9 m. Conveyor Type: Rear loading conveyor, height adjustable and slewable. Water Tank Capacity: 3,300 L. Fuel Capacity Weight: 1,950 kg. Cutting Drum System: Interchangeable for hard and soft rock applications. Levelling System: LEVEL PRO ACTIVE. Steering System: Hydraulic all-track steering. Operator Cabin: Rotating, air-conditioned, soundproofed ROPS/FOPS cabin. Lighting: Full LED working lights</p></div>","Wirtgen",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""9nvoa8c2ft""","2026-06-11 16:21:59.014457","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""rada1tlj1o""","Sinopower","2026-06-11 16:21:59.018272","rental@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""cbhlam7t2m""","Machinery Exchange","2026-06-11 16:22:25.168830","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""2628VX FLATDECK BEAVER TAIL""","2628VX FLATDECK BEAVER TAIL","Truck","Nos","2026-01-12 16:51:50.989322","logistics@sinopower.co.zw","2628VX FLATDECK BEAVER TAIL","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"2628VX FLATDECK BEAVER TAIL","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""npbvkij1rb""","2026-01-12 16:51:51.023424","logistics@sinopower.co.zw","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""jahh59tc9a""","Sinopower","2026-01-12 16:51:51.024465","logistics@sinopower.co.zw","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""2635VX Rollback Truck""","2635VX Rollback Truck","Other","Nos","2025-08-29 12:10:24.582166","Administrator","2635VX Rollback Truck","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"2635VX Rollback Truck","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""hae99e1etr""","2025-08-29 12:10:24.746467","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""lifeempdqu""","Sinopower","2025-08-29 12:10:24.750120","Administrator","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""3410""","3410","Roller","Nos","2025-05-08 10:39:41.160564","Administrator","3410","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"3410","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""s9vv0v0pl9""","2025-05-08 10:39:41.172235","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""5a0b6tc6mv""","Sinopower","2025-05-08 10:39:41.172804","Administrator","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""3520""","3520","Roller","Nos","2025-05-08 10:39:41.184625","Administrator","3520","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"3520","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""s2eoka1g1n""","2025-05-08 10:39:41.196123","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ap7dl5jjeu""","Sinopower","2025-05-08 10:39:41.196867","Administrator","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""365R TRACKED FEEDER""","365R TRACKED FEEDER","Crushers","Nos","2026-01-16 09:34:16.524317","rental@machinery-exchange.com","365R TRACKED FEEDER","",0,0,0,0,"1000 hours or 1 year full warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>365R TRACKED FEEDER/STACKER</p><p>Deutz 37kw Engine, 2231mm Transport Width 900mm heavy 3ply belt, adjustable head, and tail scrappers, 1.8 x 400mm tracks, hydraulic height adjustments, up to 25o, Elect automation controls, c/w remote control, Gear box drive on radial, Single fold only, Hydraulic oil cooler </p></div>","Wirtgen",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""nd2nae1csk""","2026-01-16 09:34:16.599863","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""8mtpbccd4r""","Sinopower","2026-01-16 09:34:16.603425","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""pe55r5hduf""","Machinery Exchange","2026-02-23 15:22:49.212454","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""45m3 Side Tipping Interlink Trailer""","45m3 Side Tipping Interlink Trailer","Trailer","Unit","2025-03-13 12:21:24.229810","Administrator","45m3 Side Tipping Interlink Trailer","",15,15,0,0,"12-months workmanship",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>1 OFF 45m3 V-Shaped bin Side Tipping Interlink with 3mm Supraform steel bins on 10T WEWELER suspension, landing legs, Twin double acting cylinders operating at 240bar pressure, 2"" SAE king pin manufactured from 709M40 condition ""T"" high strength steel and secured with castellated nut. Coupling height unlade of front and rear trailer is 1320mm, guarded walkway fitted to front and rear of trailer (4 off), roll over 800gsm tarpaulin cover secured with round tube on one side and winding mechanism on the other with 17 off 315/80R 22.5 tyres.</p></div>","Henred",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""71a34894jt""","2025-03-13 12:21:24.290840","Administrator","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""u0s6058eom""","Sinopower","2025-03-13 12:21:24.291726","Administrator","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
